group,horizon,total_signals,mature_samples,mean_return,median_return,positive_probability,return_q25,return_q75,best_return,worst_return,mean_max_loss_from_entry,worst_max_loss_from_entry,mean_max_intraday_loss_from_entry,worst_max_intraday_loss_from_entry,mean_max_drawdown,worst_max_drawdown
event_120d,1m,4,4,0.02710020355709683,0.01767358575592981,0.75,-0.0004849745861981447,0.045258763899224785,0.08646288209606978,-0.013409239379542082,-0.01805627861820805,-0.02769452087456903,,,-0.04709816822221549,-0.07637330142370513
event_120d,3m,4,4,0.033978132613999346,0.04537636809531331,0.75,0.026842936781934834,0.052511563927377825,0.07205498933396548,-0.026895195068594724,-0.024893115014036044,-0.05074942683378125,,,-0.09628868526571063,-0.1270151441133366
event_120d,6m,4,4,0.06865485120592196,0.09065529094313418,0.75,0.052211890112789816,0.10709825203626633,0.14542357583065457,-0.05211475289323508,-0.036000423592911085,-0.09139409055248382,,,-0.12347461375075347,-0.16536394723986325
event_120d,1y,4,4,0.12541270348340172,0.14217894856325075,0.75,-0.014904417846987539,0.28249606989364,0.29874464933042666,-0.08145173252332127,-0.09524977793225667,-0.19359534206695783,,,-0.18122181998816664,-0.32340009770395706
event_120d,3y,4,3,0.44728134878517073,0.6343522561863173,1.0,0.32237971457382153,0.6657184366970932,0.6970846172078691,0.010407172961325761,-0.12749479289861634,-0.19359534206695783,,,-0.24232482735026642,-0.32340009770395706
ordinary_day,1m,6264,6243,0.009379523885937529,0.007528905619790249,0.5670350792888035,-0.01952640533288763,0.03856307467896125,0.26399821643183086,-0.20310701956271582,-0.025319910492698036,-0.24564270152505452,,,-0.04074065814992929,-0.24564270152505452
ordinary_day,3m,6264,6201,0.030143462714126296,0.027382480915312923,0.639412997903564,-0.02319676860934794,0.07823610226137867,0.3817027598197431,-0.25437415881561243,-0.042268910771116615,-0.25437415881561243,,,-0.07628247906521331,-0.25437415881561243
ordinary_day,6m,6264,6138,0.0629153995869376,0.057997790121373516,0.7113066145324209,-0.014508245700583094,0.13226875890618012,0.6676953954799159,-0.2746043707611153,-0.05355073174548585,-0.2946269416857652,,,-0.10574844374895055,-0.2946269416857652
ordinary_day,1y,6264,6048,0.12945471559724342,0.113704978140446,0.7504960317460317,0.00025327775054162505,0.24547702858924242,0.9847898227058398,-0.2950350550865646,-0.06690846694102434,-0.32779329608938546,,,-0.1424115333840196,-0.32779329608938546
ordinary_day,3y,6264,5608,0.41679686881547306,0.4434914311857395,0.8350570613409415,0.0912447999733077,0.67588549862361,1.922886915466008,-0.3900603734841036,-0.09455842406186293,-0.3935212226221787,,,-0.22471410105497028,-0.3935212226221787
