date,close,currency,unit,benchmark,source
1969-04-10,43.4,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-11,43.35,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-14,43.275,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-15,42.9,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-16,43.075,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-17,43.225,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-18,43.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-21,43.2,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-22,43.175,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-23,43.4,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-24,43.275,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-25,43.25,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-28,43.55,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
1969-04-29,43.55,USD,USD/troy_ounce,LBMA Gold Price AM archive,Public historical LBMA AM archive
